ref_gene_name,Rank,Rank_Pct,class_prob,conservation_upstream,conservation_intron,species1_upstream,species1_max_PSSM_score_upstream,species1_avg_PSSM_score_upstream,species1_min_dist_upstream,species1_avg_dist_upstream,species1_site_count_upstream,species2_upstream,species2_max_PSSM_score_upstream,species2_avg_PSSM_score_upstream,species2_min_dist_upstream,species2_avg_dist_upstream,species2_site_count_upstream,species3_upstream,species3_max_PSSM_score_upstream,species3_avg_PSSM_score_upstream,species3_min_dist_upstream,species3_avg_dist_upstream,species3_site_count_upstream,species4_upstream,species4_max_PSSM_score_upstream,species4_avg_PSSM_score_upstream,species4_min_dist_upstream,species4_avg_dist_upstream,species4_site_count_upstream,species5_upstream,species5_max_PSSM_score_upstream,species5_avg_PSSM_score_upstream,species5_min_dist_upstream,species5_avg_dist_upstream,species5_site_count_upstream,species6_upstream,species6_max_PSSM_score_upstream,species6_avg_PSSM_score_upstream,species6_min_dist_upstream,species6_avg_dist_upstream,species6_site_count_upstream,species7_upstream,species7_max_PSSM_score_upstream,species7_avg_PSSM_score_upstream,species7_min_dist_upstream,species7_avg_dist_upstream,species7_site_count_upstream,species8_upstream,species8_max_PSSM_score_upstream,species8_avg_PSSM_score_upstream,species8_min_dist_upstream,species8_avg_dist_upstream,species8_site_count_upstream,species1_intron,species1_max_PSSM_score_intron,species1_avg_PSSM_score_intron,species1_min_dist_intron,species1_avg_dist_intron,species1_site_count_intron,species2_intron,species2_max_PSSM_score_intron,species2_avg_PSSM_score_intron,species2_min_dist_intron,species2_avg_dist_intron,species2_site_count_intron,species3_intron,species3_max_PSSM_score_intron,species3_avg_PSSM_score_intron,species3_min_dist_intron,species3_avg_dist_intron,species3_site_count_intron,species4_intron,species4_max_PSSM_score_intron,species4_avg_PSSM_score_intron,species4_min_dist_intron,species4_avg_dist_intron,species4_site_count_intron,species5_intron,species5_max_PSSM_score_intron,species5_avg_PSSM_score_intron,species5_min_dist_intron,species5_avg_dist_intron,species5_site_count_intron,species6_intron,species6_max_PSSM_score_intron,species6_avg_PSSM_score_intron,species6_min_dist_intron,species6_avg_dist_intron,species6_site_count_intron,species7_intron,species7_max_PSSM_score_intron,species7_avg_PSSM_score_intron,species7_min_dist_intron,species7_avg_dist_intron,species7_site_count_intron,species8_intron,species8_max_PSSM_score_intron,species8_avg_PSSM_score_intron,species8_min_dist_intron,species8_avg_dist_intron,species8_site_count_intron,avg_species_max_PSSM_score_upstream,avg_species_avg_PSSM_score_upstream,avg_species_min_dist_upstream,avg_species_avg_dist_upstream,avg_species_site_count_upstream,avg_species_max_PSSM_score_intron,avg_species_avg_PSSM_score_intron,avg_species_min_dist_intron,avg_species_avg_dist_intron,avg_species_site_count_intron
F32H2.8,1,0.010299722,0.733574994,5,,c_eleg,14.0918,12.36733333,377,1330.666667,3,c_brig,14.0918,12.31632,1327,2166.6,5,c_bren,14.0918,12.8801,890,1410,4,c_rema,14.0918,12.11517143,73,2502,7,p_exsp,13.602,12.16835,228,1436.25,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.99384,12.36945495,579,1769.103333,11,,,,,
stn-1,2,0.020599444,0.716712488,5,,c_eleg,13.9592,13.0102,618,3174,2,c_brig,13.9592,12.14286667,1183,2214.666667,3,c_bren,13.9592,13.9592,1910,2302,2,c_japo,13.602,12.8265,44,3498.333333,3,a_lumb,12.1939,12.1939,1667,1667,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5347,12.82653333,1084.4,2571.2,2.2,,,,,
C35A5.11,3,0.030899166,0.701174768,5,,c_eleg,13.9592,12.55105,130,536.5,2,c_brig,13.9592,13.84013333,201,502.3333333,3,c_bren,13.9592,13.9592,222,222,1,c_rema,13.9592,13.9592,209,678,2,c_japo,11.8776,11.8776,737,737,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.54288,13.23743667,299.8,535.1666667,1.8,,,,,
C35A5.10,4,0.041198888,0.697014017,6,,c_eleg,13.9592,12.55105,133,539.5,2,c_brig,13.9592,13.84013333,154,687.6666667,3,c_bren,13.9592,13.9592,489,489,1,c_rema,13.9592,13.9592,186,655,2,c_japo,11.8776,11.8776,1089,1089,1,p_exsp,12.0612,11.7602,802,1015,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.29593333,12.99123056,475.5,745.8611111,2.166666667,,,,,
tth-1,5,0.05149861,0.691641283,7,,c_eleg,13.9592,13.41325,1149,3045.5,2,c_brig,13.602,12.37245,1315,3457.5,2,c_bren,14.0918,13.3299,1998,3097.666667,3,c_rema,14.0918,14.0918,2300,2300,1,c_japo,13.9592,13.9592,3747,3747,1,p_paci,13.2245,13.0459,1695,3694,2,p_exsp,12.4184,11.48725,202,1963,4,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.62098571,13.09996429,1772.285714,3043.52381,2.142857143,,,,,
C09B8.3,6,0.061798331,0.690687016,8,1,c_eleg,13.7347,13.7347,52,52,1,c_brig,14.0918,12.59011667,723,7416,6,c_bren,14.0918,12.568875,609,4038.75,4,c_rema,14.0918,13.45916667,775,3135,3,c_japo,14.0918,11.9592,4484,5968,4,p_paci,12.8673,12.8673,3732,3732,1,p_exsp,12.0612,12.0612,263,263,1,a_lumb,12.2959,11.7687,95,4079.333333,3,c_eleg,11.3265,11.3265,1170,1170,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.4157875,12.62615729,1341.625,3585.510417,2.875,11.3265,11.3265,1170,1170,1
cyk-7,7,0.072098053,0.684765396,6,,c_eleg,12.8673,12.69895,299,4589.75,4,c_brig,13.602,12.00203,5791,16072.3,10,c_bren,14.0918,13.14431429,282,11256.57143,7,c_rema,13.9592,12.42857273,4305,14603.36364,11,c_japo,13.2245,13.2245,3573,3573,1,a_lumb,12.0612,12.0612,4424,4424,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.301,12.59326117,3112.333333,9086.497511,5.666666667,,,,,
M117.1,8,0.082397775,0.67993876,7,,c_eleg,14.0918,12.0245,136,2409,5,c_brig,14.0918,12.34257143,153,1692.571429,7,c_bren,14.0918,13.15304286,1246,1984,7,c_rema,14.0918,12.45604615,245,3370.461538,13,c_japo,11.1429,11.1429,1065,1065,1,p_paci,11.6837,11.35713333,2878,4287.666667,3,p_exsp,12.2959,12.17855,388,525.5,2,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.06995714,12.09353482,873,2190.599948,5.428571429,,,,,
ceh-14,9,0.092697497,0.679087547,7,,c_eleg,13.7347,12.4932,1751,2476.333333,3,c_bren,13.7347,12.18025,173,1225.5,6,c_rema,13.7347,13.7347,2289,2289,1,c_japo,13.2245,12.1837,813,4589,2,p_paci,12.4184,12.4184,9,9,1,p_exsp,12.2959,12.2959,1019,1019,1,a_lumb,11.8776,11.449,448,1650.666667,3,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.00292857,12.39359286,928.8571429,1894.071429,2.428571429,,,,,
irx-1,10,0.102997219,0.676274699,7,,c_eleg,14.0918,14.0918,1076,1076,1,c_brig,14.0918,13.8469,76,672.5,2,c_bren,14.0918,14.0918,1733,1765,2,c_rema,14.0918,12.6301,1361,3659.25,4,c_japo,14.0918,13.0765,923,1839,2,p_paci,12.6531,11.7075,730,5851.666667,3,a_lumb,11.1122,11.1122,2614,2614,1,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.46061429,12.93668571,1216.142857,2496.77381,2.142857143,,,,,
