"","Gene1","Gene2","Jaccard"
"1","nhr-45","npr-12",0.361702127659574
"2","nhr-45","daf-38",0.376237623762376
"3","nhr-45","ser-4",0.357798165137615
"4","nhr-45","npr-11",0.239130434782609
"5","nhr-45","tyra-2",0.333333333333333
"6","nhr-45","npr-7",0.239583333333333
"7","nhr-45","npr-10",0.322222222222222
"8","nhr-45","dop-5",0.46078431372549
"9","nhr-45","B0334.6",0.0941176470588235
"10","nhr-45","dmsr-8",0.208333333333333
"11","nhr-45","npr-25",0.305263157894737
"12","nhr-45","frpr-15",0.237623762376238
"13","nhr-45","npr-27",0.25531914893617
"14","nhr-45","npr-32",0.26530612244898
"15","nhr-45","dop-3",0.361702127659574
"16","nhr-45","npr-8",0.322916666666667
"17","nhr-45","npr-28",0.252873563218391
"18","nhr-45","frpr-2",0.166666666666667
"19","nhr-45","srr-4",0.296296296296296
"20","nhr-45","gnrr-4",0.380952380952381
"21","nhr-45","F40A3.7",0.239130434782609
